REPOSITORY                      TAG          IMAGE ID       SIZE
chat-copilot-api                latest       ee6528cb438c   501MB
<none>                          <none>       30434d49ae99   528MB
genai-stack-front-end           latest       88941f329cd1   226MB
genai-stack_front-end           latest       88941f329cd1   226MB
genai-stack-api                 latest       35fb6a74b22b   10.7GB
genai-stack_api                 latest       35fb6a74b22b   10.7GB
genai-stack-pdf_bot             latest       64d8c75a27ea   10.7GB
genai-stack_pdf_bot             latest       64d8c75a27ea   10.7GB
genai-stack-bot                 latest       5eb69728d20c   10.7GB
genai-stack_bot                 latest       5eb69728d20c   10.7GB
genai-stack-loader              latest       714bdba064ac   10.7GB
genai-stack_loader              latest       714bdba064ac   10.7GB
genai-stack/pull-model          latest       d573aeca3ac8   203MB
chat-copilot-webapp             latest       13b4c6a8f228   71.3MB
<none>                          <none>       f366aa96d066   528MB
chat-copilot-memorypipeline     latest       31eb6d3b2c59   485MB
chat-copilot-webapi             latest       2d86c0d35a6b   528MB
<none>                          <none>       012259ceee7f   485MB
<none>                          <none>       c3a20c6554d6   528MB
<none>                          <none>       13959e3d614c   485MB
<none>                          <none>       18df3079532a   528MB
<none>                          <none>       c91db7a5be07   485MB
<none>                          <none>       fb34600bdb76   528MB
web-searcher                    latest       0c800a518fca   904MB
chat-copilot-webapp-nginx       latest       6fbccb8d8125   71.3MB
chat-copilot_port-scanner       latest       299ee95abc81   502MB
chat-copilot-magentic-one       latest       664a9f880d2b   1.97GB
itzcrazykns1337/perplexcia      main         7e916a8dec51   2.51GB
fortinet-manager_worker         latest       f7378dd00933   524MB
fortinet-manager_frontend       latest       7be709d97847   55.4MB
fortinet-manager_backend        latest       e883d35c6f8d   580MB
ollama/ollama                   latest       b9d03126ef8b   3.46GB
ghcr.io/open-webui/open-webui   latest       b74e4892e540   4.84GB
ghcr.io/open-webui/open-webui   main         b74e4892e540   4.84GB
ghcr.io/open-webui/open-webui   cuda         436217a7e2cd   10.8GB
searxng/searxng                 latest       1cbc57dd5de5   166MB
alpine/socat                    latest       0c6dbe4fd6e9   9.59MB
neo4j                           5.26         f2b4b7135fcc   570MB
python                          3.11-slim    be3324b8ee1a   130MB
mongo                           7            4d98514a46df   818MB
codercom/code-server            latest       76eb4c59f751   723MB
redis                           7-alpine     7ff232a1fe04   41.4MB
qdrant/qdrant                   latest       95c0f7f24ffe   191MB
caddy                           2            14300de7e087   50.5MB
caddy                           2-alpine     14300de7e087   50.5MB
nginx                           alpine       6769dc3a703c   48.2MB
rabbitmq                        management   7da0a32191f0   275MB
node                            18-alpine    ee77c6cd7c18   127MB
jc21/nginx-proxy-manager        latest       9f5e0949eb63   1.09GB
jc21/mariadb-aria               latest       aac5e8d54885   259MB
