REPOSITORY                             TAG              IMAGE ID       SIZE
grafana/grafana                        latest           ee4e97364984   730MB
ghcr.io/open-webui/open-webui          main             35b7f8ede364   4.8GB
docker-compose-meraki-connector        latest           a0905b7f4436   263MB
docker-compose-autogen-studio          latest           5c9dbede3c28   1.37GB
docker-compose-genai-stack-loader      latest           daeae663b128   13GB
docker-compose-genai-stack-pdf         latest           306e9ba8d94c   13GB
docker-compose-genai-stack-bot         latest           ab8d13037245   13GB
docker-compose-genai-stack-api         latest           e549b3d34a15   13GB
docker-compose-chat-copilot-frontend   latest           56a6f5d398ce   163MB
docker-compose-chat-copilot-backend    latest           51d20fb37dc3   501MB
docker-compose-health-monitor          latest           e49a440be159   268MB
docker-compose-genai-stack-frontend    latest           eb2b1edaea90   228MB
itzcrazykns1337/perplexica             main             1ea133371775   302MB
docker-compose-port-scanner            latest           91c294c9e1d9   502MB
docker-compose_port-scanner            latest           b9de77859b54   502MB
docker-compose_magentic-one            latest           7946cb02bc29   2.01GB
docker-compose-magentic-one            latest           f5ee7311b477   2.01GB
docker-compose_webhook-server          latest           fb0b58d56e26   130MB
docker-compose-webhook-server          latest           6cfdc3255965   130MB
<none>                                 <none>           babf331fd891   602MB
docker-compose_autogen-studio          latest           3384bce22298   602MB
searxng/searxng                        latest           27c4b4ca759e   175MB
alpine/socat                           latest           a600a7fbf277   9.59MB
python                                 3.11-slim        2ba2e944f9cd   125MB
ghcr.io/windmill-labs/windmill         main             430c9dd12a73   3.8GB
ollama/ollama                          latest           26b5ca9df132   2.28GB
docker.n8n.io/n8nio/n8n                latest           488591dfb95d   1.02GB
neo4j                                  5                768466c3a6cf   568MB
neo4j                                  5.26             826215875f4c   568MB
ghcr.io/open-webui/open-webui          cuda             2017746e4b67   10.7GB
codercom/code-server                   latest           379e736696ee   772MB
qdrant/qdrant                          latest           da4c45d5134b   198MB
grafana/grafana-oss                    latest           75006c93b887   722MB
ghcr.io/insaanimanav/prompt-forge      main             c53f0aefd51f   24.8MB
prom/prometheus                        latest           a3bc50fcb50f   313MB
jc21/nginx-proxy-manager               latest           405c49a2d38c   1.1GB
nginx                                  alpine           d6adbc7fd47e   52.5MB
postgres                               15               af3ea6376a7b   430MB
rabbitmq                               management       80df0b5c130d   275MB
rabbitmq                               3-management     17752bd0f348   252MB
neo4j                                  5.23-community   d6c2c1adfcb5   506MB
jc21/mariadb-aria                      latest           aac5e8d54885   259MB
schenkd/nginx-ui                       latest           e9cdb414f332   393MB
